	Smiles String	agg
228	Cc1nn(C)c(C)c1S(=O)(=O)NCCc2ccc(cc2)S(=O)(=O)N	NONAGG
229	CCN(CC)CCNC(=O)C1=CN(C)c2ccc(cc2C1=O)S(=O)(=O)N3CCOCC3	NONAGG
230	CCc1ccccc1NC(=O)C\C(=N\NC(=O)C(=O)NCCOC)\C	NONAGG
231	COc1cccc(\C=C/2\S\C(=N/c3ccc(C)cc3)\NC2=O)c1	AGG
232	Cc1ccccc1c2nnn(CC(=O)NCCc3ccccc3)n2	NONAGG
233	NC1=C(SC(=S)N1c2ccc(Cl)cc2)C(=O)Nc3ccccc3	NONAGG
234	Cc1cccc(C)c1NC(=S)N(CCCN2CCCC2)Cc3cccs3	NONAGG
235	CCCCCn1c(nc2ccccc12)C(C)NC(=O)CC	NONAGG
236	O=C(N1CCc2ccccc2C1)c3cc(on3)c4cccs4	NONAGG
237	CC(=O)N1CCc2cc(ccc12)S(=O)(=O)NCc3ccc(C)cc3	NONAGG
238	CCC(=O)N1CCN=C1SCc2cccc(c2)[N+](=O)[O-]	NONAGG
239	CC1CCCC(NC(=O)CSCc2nc(oc2C)c3ccccc3C)C1C	NONAGG
240	CSc1cccc(NC(=O)c2nnn(Cc3ccc(F)cc3)c2N)c1	AGG
241	C\C(=N\Nc1ccc(cc1)C(=O)O)\c2cc(Cl)sc2Cl	NONAGG
242	CCOc1cc2NC(=O)N(CCC(=O)NC(C)CC)C(=O)c2cc1OCC	NONAGG
243	CCOc1ccccc1N2C(=S)SC(=C2N)C(=O)Nc3ccccc3C	NONAGG
244	COC(=O)C1=C(NC(=S)Nc2ccccc2Br)N=NC1	NONAGG
245	Cc1ccc(CNC(=O)CC(C(=O)N2CCc3ccccc23)n4ccnc4)cc1	NONAGG
246	Cc1nc(N2CCOCC2)c3c(C)c(sc3n1)C(=O)NCc4ccccc4Cl	NONAGG
247	CCOc1ccccc1NC(=O)CN2CCN(CC(=O)Nc3ccccc3OC)CC2	NONAGG
248	Cc1ccc(Cn2nnc3C(=O)N(Cc4cc(C)ccc4C)C=Nc23)cc1	AGG
249	O=C(Nc1ccc2ccccc2c1)N3CCN(CC3)C(=O)c4occc4	NONAGG
250	Cc1ncc(CO)c2C=C(C(=O)Nc3ccc(F)cc3F)C(=N)Oc12	NONAGG
251	CCCN1C(=S)Nc2cc(ccc2C1=O)C(=O)NCCN(C)C	NONAGG
252	CC1CCCCN1C(=O)c2ccc(Sc3ccc(F)cc3)c(c2)[N+](=O)[O-]	AGG
253	CC(C)CCN(C)C1CCN(CC1)S(=O)(=O)c2ccc(Cl)cc2	NONAGG
254	Cc1c(sc2ncnc(N3CCN(CC3)c4ccccn4)c12)C(=O)Nc5ccccc5F	NONAGG
255	CCCN(CCC)CCCNC(=O)C1=NN(C(=O)c2ccccc12)c3cccc(OC)c3	NONAGG
256	COc1ccc(cc1)n2nnc3C(=O)N(CC(=O)Nc4ccccc4OC)C=Nc23	NONAGG
257	Cc1ccsc1\C=N\Nc2nc3ccccc3s2	AGG
258	Cc1ncc(CO)c2C=C(C(=O)N)\C(=N\c3ccc(cc3)C(F)(F)F)\Oc12	NONAGG
259	COc1ccc(CCN2C(=O)c3sccc3N=C2SCC(=O)Nc4cc(C)on4)cc1OC	NONAGG
260	[O-][N+](=O)c1cc(ccc1N2CCN(CC2)c3ccccn3)C(=O)NCc4cccs4	AGG
261	CCCCSCCCNC(=O)Nc1ccc(Cl)c(Cl)c1	AGG
262	CCOC(=O)C(NC(=O)C1CCCN1C(=O)OCc2ccccc2)C(=O)OCC	NONAGG
263	CN1CCN(Cc2nc3N(C)C(=O)NC(=O)c3n2CCc4ccccc4)CC1	NONAGG
264	COc1ccc(\C=C\2/N=C(OC2=O)c3occc3)c(OC)c1OC	NONAGG
265	CSC1=Nc2c(sc3ccc(cc23)[N+](=O)[O-])C(=O)N1Cc4occc4	NONAGG
266	COc1cccc(NC(=O)CSC2=Nc3ccsc3C(=O)N2C4CCCCC4)c1	AGG
267	COc1ccc(cc1)N2C(=Nc3[nH]ncc3C2=O)SCC(=O)Nc4ccc(C)cc4	NONAGG
268	CN(C)C(=O)N1CCC(CC1)C(=O)N2CCC3(CC2)OCCO3	NONAGG
269	CCOc1ccccc1NC(=O)c2sc3nc(C)nc(N4CCC(C)CC4)c3c2C	NONAGG
